2026-03-15 12:14:19.730  7343-7343  ViewRootIm...nActivity] org.example.project                  D  ViewPostIme pointer 0
2026-03-15 12:14:19.811  7343-7343  ViewRootIm...nActivity] org.example.project                  D  ViewPostIme pointer 1
2026-03-15 12:14:19.812  7343-7343  System.out              org.example.project                  I  💾 EditPropertyImagesScreen: Save button clicked
2026-03-15 12:14:19.812  7343-7343  System.out              org.example.project                  I     keptRemoteUrls (5): [https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F0.jpg?alt=media&token=7c54c952-41bb-4c67-b4be-df7f04c69bfb, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F1.jpg?alt=media&token=cb8f713d-2b4d-4cd0-84bf-e782221680e5, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F2.jpg?alt=media&token=6d4bf034-51f8-4bd7-af55-fec96540456d, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F3.jpg?alt=media&token=c5c67945-5e7d-440b-b894-e4b79bca956b, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F4.jpg?alt=media&token=25780498-7fb7-4d18-b22f-dd68297f83af]
2026-03-15 12:14:19.812  7343-7343  System.out              org.example.project                  I     newImages count: 1
2026-03-15 12:14:19.812  7343-7343  System.out              org.example.project                  I  📝 PropertyViewModel.updateProperty() called
2026-03-15 12:14:19.812  7343-7343  System.out              org.example.project                  I     Property ID: uBryk6jh64ZlZimjxe6a
2026-03-15 12:14:19.812  7343-7343  System.out              org.example.project                  I     Property.imageUrl: https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F0.jpg?alt=media&token=7c54c952-41bb-4c67-b4be-df7f04c69bfb
2026-03-15 12:14:19.812  7343-7343  System.out              org.example.project                  I     Property.imageUrls: [https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F0.jpg?alt=media&token=7c54c952-41bb-4c67-b4be-df7f04c69bfb, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F1.jpg?alt=media&token=cb8f713d-2b4d-4cd0-84bf-e782221680e5, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F2.jpg?alt=media&token=6d4bf034-51f8-4bd7-af55-fec96540456d, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F3.jpg?alt=media&token=c5c67945-5e7d-440b-b894-e4b79bca956b, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F4.jpg?alt=media&token=25780498-7fb7-4d18-b22f-dd68297f83af]
2026-03-15 12:14:19.812  7343-7343  System.out              org.example.project                  I     keepImageUrls (5): [https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F0.jpg?alt=media&token=7c54c952-41bb-4c67-b4be-df7f04c69bfb, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F1.jpg?alt=media&token=cb8f713d-2b4d-4cd0-84bf-e782221680e5, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F2.jpg?alt=media&token=6d4bf034-51f8-4bd7-af55-fec96540456d, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F3.jpg?alt=media&token=c5c67945-5e7d-440b-b894-e4b79bca956b, https://firebasestorage.googleapis.com/v0/b/rentout-12239.firebasestorage.app/o/property_images%2FXsqXMeqhFZbC0z9kLRdsG8Y6TDP2%2FuBryk6jh64ZlZimjxe6a%2F4.jpg?alt=media&token=25780498-7fb7-4d18-b22f-dd68297f83af]
2026-03-15 12:14:19.813  7343-7343  System.out              org.example.project                  I     newImageBytes count: 1
2026-03-15 12:14:19.814  7343-7343  System.out              org.example.project                  I  🔄 Uploading 1 new images...
